level1_code,level1_name,level2_code,level2_name,description,aliases,sort_order
ENG,Engineering & Technology,,,Engineering and applied technology as a whole. The coarse fallback when a unit is plainly engineering but not which kind.,engineering|technology|engineering and technology|applied engineering|engineering sciences,100
ENG,Engineering & Technology,ENG.01,Mechanical & Manufacturing Engineering,Design manufacture and behaviour of mechanical systems.,mechanical engineering|mechanical|manufacturing|production engineering|thermal engineering|fluid mechanics|machine design|additive manufacturing|3D printing|tribology|industrial engineering,101
ENG,Engineering & Technology,ENG.02,Electrical Electronic & Communication Engineering,Electrical power electronics signals and communication systems.,electrical engineering|electronics|electrical|communication engineering|VLSI|embedded systems|signal processing|microelectronics|semiconductors|antennas|wireless communication|photonics|power electronics,102
ENG,Engineering & Technology,ENG.03,Civil & Structural Engineering,Built infrastructure structures geotechnics and construction.,civil engineering|civil|structural engineering|construction|geotechnical|transportation engineering|earthquake engineering|smart cities|infrastructure,103
ENG,Engineering & Technology,ENG.04,Chemical & Process Engineering,Chemical process design reaction engineering and separations.,chemical engineering|process engineering|catalysis|chemical technology|petrochemical|separation processes|reaction engineering|process intensification|biochemical engineering,104
ENG,Engineering & Technology,ENG.05,Materials Engineering & Nanotechnology,Structural and functional materials including nanoscale systems.,materials science|materials engineering|nanotechnology|nanomaterials|metallurgy|composites|ceramics|thin films|graphene|smart materials,105
ENG,Engineering & Technology,ENG.06,Energy Power & Renewable Systems,Energy generation storage conversion and renewable technologies.,renewable energy|clean energy|solar energy|photovoltaics|wind energy|hydrogen|fuel cells|batteries|energy storage|power systems|smart grid|nuclear energy|bioenergy|energy efficiency|net zero,106
ENG,Engineering & Technology,ENG.07,Robotics Automation & Mechatronics,Robotic systems control automation and mechatronic design.,robotics|automation|mechatronics|control systems|autonomous systems|drones|industrial automation|human-robot interaction,107
ENG,Engineering & Technology,ENG.08,Aerospace Automotive & Transport Engineering,Vehicles aircraft spacecraft and transport technology.,aerospace engineering|aeronautical|automotive engineering|space technology|propulsion|avionics|electric vehicles|mobility|transport technology,108
CIS,Computer & Information Sciences,,,Computing and information sciences as a whole.,computing|computer applications|information technology|informatics|computer engineering|IT,200
